Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Presicion(macro),Recall(macro),Accuracy(macro),F1-score(macro)
512,Xavier,none,0.5,16,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,11,0.21017984014209593,312.26873660087585,0.2865,0.5,0.573,0.3642720915448188
512,Normal,none,0.5,32,TF-IDF,"(1, 1)",only_normalizar_texto,13,0.21018323816503995,225.41207933425903,0.2865,0.5,0.573,0.3642720915448188
512,Normal,none,0.5,16,TF,"(2, 2)",only_normalizar_texto,93,0.04512242441168618,2914.449072599411,0.6453067654234781,0.642883709144116,0.654,0.6437030171969931
512,Normal,none,0.1,32,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,98,0.05044405449292605,1878.8094718456268,0.6385018048249975,0.6337694291517998,0.648,0.6348168897188505
512,Xavier,none,0.1,16,TF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,29,0.28982377723017694,1092.1490938663483,0.2135,0.5,0.427,0.299229152067274
512,Normal,none,0.1,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.033879811242413425,1116.2652943134308,0.6847893205934448,0.6859108762378867,0.691,0.685263935219373
512,Xavier,none,0.01,64,TF,"(1, 1)",normalizar_txt_sin_StopWords_mas_stemming,100,0.025302695987285104,1213.9761168956757,0.7017011010005756,0.7019385215248231,0.708,0.701816874714071
512,Normal,none,0.5,16,TF-IDF,"(1, 1)",only_normalizar_texto,20,0.21019829940399723,738.8902058601379,0.2865,0.5,0.573,0.3642720915448188
512,Xavier,none,0.5,64,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,13,0.21018641646966119,147.1410572528839,0.2865,0.5,0.573,0.3642720915448188
512,Normal,none,0.1,64,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.035754334234091495,1109.5563311576843,0.6910498760209742,0.6949291088849925,0.688,0.6870875472878915
512,Normal,none,0.01,32,TF-IDF,"(1, 1)",only_normalizar_texto,19,0.2898804342272066,368.97487354278564,0.2135,0.5,0.427,0.299229152067274
512,Normal,none,0.1,16,TF,"(1, 1)",only_normalizar_texto,100,0.04122308250072798,3762.5093829631805,0.6901491787267326,0.691765677174655,0.696,0.6907740819855559
512,Normal,none,0.5,32,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,13,0.21018323896133614,261.65040016174316,0.2865,0.5,0.573,0.3642720915448188
512,Normal,none,0.5,64,TF,"(1, 2)",only_normalizar_texto,29,0.210146824638742,359.5305061340332,0.2865,0.5,0.573,0.3642720915448188
512,Normal,none,0.5,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,12,0.2100434589017436,455.15451765060425,0.2865,0.5,0.573,0.3642720915448188
512,Xavier,none,0.5,32,TF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,13,0.21018323896133617,269.77828431129456,0.2865,0.5,0.573,0.3642720915448188
512,Xavier,none,0.1,32,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords_mas_stemming,13,0.21018323896103108,258.7020604610443,0.2865,0.5,0.573,0.3642720915448188
512,Normal,none,0.01,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.08478054373982849,3666.4217824935913,0.676991007385306,0.6566205230697548,0.68,0.6575577015272926
512,Xavier,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,13,0.2101832389610437,222.71228194236755,0.2865,0.5,0.573,0.3642720915448188
512,Xavier,none,0.1,64,TF-IDF,"(1, 2)",only_normalizar_texto,13,0.21018641646966119,125.51869988441467,0.2865,0.5,0.573,0.3642720915448188
